ContactID,six_month_retained
1669,1
1670,1
1671,1
1672,1
1673,1
1674,1
1675,1
1679,0
1680,1
1681,1
1682,1
1683,1
1684,1
1685,0
1686,1
1687,1
1689,1
1691,1
1693,0
1694,1
1695,1
1696,1
1697,1
1698,1
1700,1
1704,1
1706,1
1707,1
1709,1
1713,1
1716,1
1719,1
1720,1
1721,1
1725,1
1726,1
1727,1
1728,1
1731,1
1734,0
1736,0
1737,1
1738,1
1739,1
1740,1
1742,1
1743,1
1744,1
1745,1
1747,1
1748,1
1749,1
1750,1
1752,1
1754,1
1755,1
1756,1
1759,1
1761,1
1762,1
1767,1
1769,0
1776,1
1777,0
1778,0
1780,1
1781,0
1782,1
1783,1
1790,0
1791,0
1795,0
1797,1
1798,1
1800,1
1801,1
1802,1
1803,1
1805,1
1806,1
1808,1
1812,1
1813,1
1815,0
1816,1
1846,1
1863,1
1870,1
1888,1
1889,1
1890,1
1893,1
1898,1
1900,1
1903,1
1905,0
1927,0
1928,1
1929,1
1930,0
1932,1
1934,1
1936,1
1937,1
1938,0
1940,1
1942,0
1943,1
1945,0
1946,1
1948,0
1950,1
1953,1
1955,1
1956,1
1957,0
1958,1
1959,0
1963,0
1964,1
1969,0
1971,1
1977,0
1978,1
1980,0
1982,1
1990,1
1993,1
1994,0
1996,0
1998,0
2000,1
2001,1
2002,1
2003,1
2009,1
2011,0
2017,0
2019,0
2023,0
2032,0
2034,1
2036,0
2038,1
2044,1
2047,0
2048,0
2049,1
2050,1
2057,0
2069,0
2072,1
2085,1
2092,1
2093,0
2094,1
2100,1
2102,0
2103,1
2110,1
2131,1
2137,0
2138,0
2141,0
2142,0
2148,1
2151,1
2153,1
2154,1
2207,1
2210,1
2266,1
2268,0
2285,1
2313,0
2318,0
2333,1
2346,1
2348,1
2349,1
2356,0
2358,1
2366,0
2372,0
2412,0
2413,0
2415,1
2416,0
2419,0
2420,0
2422,1
2423,0
2424,0
2425,1
2426,1
2427,0
2428,1
2429,1
2430,1
2431,1
2432,0
2433,1
2436,1
2437,1
2438,0
2440,0
2441,0
2444,0
2445,0
2449,1
2450,0
2457,1
2458,1
2460,1
2461,1
2462,0
2464,1
2472,0
2473,0
2474,0
2477,0
2483,0
2489,1
2490,1
2496,1
2501,1
2502,1
2506,1
2511,1
2541,1
2545,1
2549,1
2550,1
2553,0
2555,1
2557,1
2559,1
2560,1
2561,1
2562,1
2564,0
2567,1
2568,1
2573,1
2574,1
2582,1
2584,0
2588,1
2589,1
2591,1
2592,1
2597,1
2599,1
2601,1
2619,0
2627,0
2628,1
2632,1
2633,0
2641,1
2644,0
2646,1
2647,1
2649,0
2650,1
2656,1
2659,1
2660,1
2666,1
2671,1
2677,1
2678,0
2679,1
2680,1
2685,0
2687,0
2698,1
2702,1
2711,1
2728,1
2739,1
2740,1
2743,1
2754,1
2770,1
2775,0
2777,0
2784,1
2785,1
2789,0
2790,1
2794,1
2795,0
2796,0
2798,1
2800,1
2802,0
2804,1
2814,1
2823,1
2824,1
2834,1
2836,1
2837,1
2838,1
2839,0
2843,0
2845,1
2846,0
2847,0
2849,1
2853,1
2854,1
2855,1
2856,0
2860,1
2862,0
2865,0
2867,1
2870,1
2871,0
2877,0
2879,1
2883,1
2884,0
2887,0
2889,0
2891,0
2894,1
2896,1
2899,1
2915,1
2916,0
2918,0
2926,0
2927,1
2929,0
2932,1
2934,1
2935,1
2937,1
2939,1
2940,1
2944,1
2945,1
2958,1
2965,0
2968,1
2981,1
2984,0
2985,1
2989,1
2991,1
2992,0
2994,1
2999,1
3000,1
3002,0
3003,1
3005,1
3006,1
3008,1
3011,1
3015,1
3018,1
3022,1
3027,0
3028,0
3029,0
3030,0
3031,0
3033,0
3034,1
3036,0
3037,0
3038,0
3046,0
3049,1
3050,1
3051,1
3064,1
3065,1
3076,1
3086,1
3087,1
3090,1
3091,1
3093,1
3101,1
3110,1
3117,1
3119,1
3128,1
3132,1
3134,1
3136,1
3137,1
3139,1
3143,1
3149,1
3151,0
3152,0
3153,0
3186,1
3191,0
3200,1
3201,1
3220,0
3223,1
3224,1
3225,1
3226,0
3229,0
3233,1
3234,0
3236,1
3239,1
3241,0
3243,1
3247,0
3248,0
3249,0
3253,0
3255,0
3259,1
3260,1
3261,0
3262,1
3264,1
3271,1
3272,1
3278,1
3285,1
3286,0
3292,0
3293,1
3296,0
3297,1
3298,0
3303,1
3306,0
3309,1
3312,1
3316,0
3318,0
3319,0
3321,1
3323,0
3328,0
3329,1
3332,1
3334,0
3336,0
3340,1
3343,1
3344,0
3348,1
3354,1
3355,1
3356,0
3357,0
3358,0
3372,0
3376,1
3380,1
3384,0
3387,1
3406,0
3407,0
3418,0
3419,0
3433,0
3434,1
3444,0
3450,0
3454,0
3472,1
3482,1
3492,1
3493,1
3495,0
3504,1
3541,1
3542,0
3553,1
3554,1
3557,0
3559,0
3575,0
3617,0
3619,0
3620,1
3621,0
3623,1
3624,1
3626,1
3627,1
3628,1
3629,1
3630,1
3631,1
3632,0
3633,1
3634,1
3636,1
3640,0
3650,0
3651,0
3652,0
3654,1
3655,0
3656,0
3657,0
3659,0
3660,0
3661,1
3662,1
3663,1
3665,1
3666,0
3667,1
3668,0
3670,0
3671,1
3672,0
3673,0
3683,1
3688,0
3698,0
3705,1
3711,1
3713,0
3718,0
3720,1
3728,1
3729,1
3730,0
3732,1
3733,0
3734,1
3735,0
3741,0
3742,1
3743,1
3744,1
3745,1
3747,1
3748,1
3749,0
3750,1
3751,1
3752,1
3754,1
3760,1
3761,1
3762,0
3763,1
3764,0
3765,1
3766,0
3767,1
3769,0
3770,0
3790,1
3792,1
3801,1
3812,1
3845,1
3850,1
3851,1
3866,1
3870,1
3881,1
3891,1
3893,0
3898,0
3907,0
3912,0
3926,1
3930,0
3933,1
3935,0
3937,1
3953,1
3958,1
3960,1
3961,1
3969,1
3970,0
3971,0
3973,0
3974,0
3975,1
3999,0
4023,0
4024,0
4027,0
4028,1
4030,1
4033,1
4054,0
4057,1
4072,1
4079,0
4086,1
4103,1
4105,1
4121,0
4124,0
4126,0
4141,0
4143,1
4145,1
4148,1
4149,1
4150,0
4151,1
4152,1
4153,1
4154,1
4155,0
4157,0
4158,1
4159,1
4166,0
4169,0
4170,0
4173,0
4176,1
4183,0
4184,1
4189,0
4199,1
4201,0
4224,0
4226,0
4227,0
4228,0
4229,0
4230,0
4232,0
4233,0
4236,0
4243,0
4244,0
4248,0
4249,0
4250,0
4263,0
4270,0
4276,0
4277,1
4278,1
4350,1
4356,1
4367,0
4371,0
4382,1
4389,1
4420,1
4424,1
4446,0
4504,0
4545,1
4546,0
4547,0
4550,1
4558,1
4633,0
4635,0
4636,0
4637,0
4638,0
4639,0
4655,1
4658,0
4661,1
4662,1
4663,1
4665,1
4667,1
4674,0
4676,0
4679,1
4680,0
4681,0
4682,0
4686,0
4687,0
4689,1
4691,1
4692,0
4697,0
4701,1
4703,0
4704,1
4717,0
4721,0
4732,0
4733,0
4734,0
4736,0
4737,1
4739,0
4741,0
4744,1
4746,1
4747,0
4748,0
4750,0
4752,1
4770,0
4772,1
4774,1
4775,1
4778,0
4779,0
4782,1
4784,1
4788,1
4791,1
4794,0
4796,0
4800,1
4805,0
4811,0
4820,1
4822,1
4828,1
4829,1
4835,0
4838,1
4840,1
4841,0
4842,0
4843,0
4844,0
4846,1
4847,1
4848,0
4850,0
4867,0
4872,1
4873,0
4878,1
4888,0
4906,1
4907,1
4911,0
4917,1
4918,0
4920,1
4932,0
4934,1
4945,1
4946,1
4947,1
4949,0
4950,1
4955,0
4957,0
4961,1
4963,0
4964,1
4966,1
4968,1
4976,1
4983,1
4993,0
4996,0
5004,1
5005,1
5015,0
5016,0
5017,1
5023,1
5024,1
5026,0
5027,0
5037,0
5068,0
5071,1
5082,1
5085,1
5090,0
5098,0
5102,0
5108,1
5110,1
5111,1
5116,0
5117,1
5120,1
5123,1
5124,0
5128,0
5130,1
5131,1
5132,0
5136,0
5140,0
5143,1
5150,0
5152,1
5153,1
5159,0
5162,1
5174,1
5175,0
5179,1
5187,1
5188,0
5197,0
5210,1
5212,1
5217,1
5222,0
5235,1
5252,1
5260,0
5261,1
5262,1
5302,1
5416,1
5647,1
5651,1
5697,1
5711,0
5712,0
5716,0
5718,0
5725,0
5727,0
7117,1
7122,1
