ContactID,six_month_retained
1,0
10,1
15,1
18,1
23,1
26,0
42,1
45,1
47,1
52,1
56,0
65,0
66,1
71,1
72,1
89,1
101,1
112,1
113,1
118,1
120,1
121,0
122,1
123,1
124,1
131,0
134,1
137,1
148,1
152,1
156,1
165,1
168,1
169,0
170,0
172,0
173,1
175,1
179,0
182,1
183,0
185,1
187,1
188,1
189,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,0
210,1
211,1
212,1
213,1
214,1
219,1
221,1
223,0
224,0
225,1
226,1
227,1
228,1
229,1
235,1
238,1
240,1
241,1
242,1
244,1
246,1
249,1
252,0
255,1
256,1
257,1
258,1
262,1
265,0
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
282,1
286,1
287,0
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,0
312,1
313,0
315,0
316,0
322,1
323,1
326,1
347,1
351,0
371,1
378,1
380,1
381,0
383,1
394,0
397,1
399,1
408,1
437,1
461,0
464,1
472,1
475,1
488,1
491,0
493,1
495,0
497,1
498,0
499,1
500,1
503,1
504,1
505,1
506,1
507,1
508,1
511,1
513,1
514,1
517,1
518,1
522,0
524,1
546,1
550,1
552,1
563,1
566,0
583,1
608,1
632,1
633,1
634,1
640,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,0
656,1
661,1
662,1
663,0
664,1
665,1
666,1
667,0
668,1
669,1
670,1
675,1
676,1
679,1
680,1
685,1
687,1
689,1
691,1
692,1
693,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,0
707,1
715,1
716,1
717,1
718,1
719,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,1
731,1
732,1
739,1
747,1
748,1
749,1
750,1
752,1
753,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
771,0
772,1
773,0
774,1
775,1
811,1
814,1
851,1
864,1
866,1
869,1
875,1
887,0
892,1
893,1
894,1
895,1
928,1
930,1
932,1
934,0
935,1
936,1
937,0
944,1
946,1
947,1
952,1
